customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Customer Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,1953-10-12,67,Executive Secretary,Health,Mass Customer,N,Yes,11 
2,Eli,Bockman,Male,81,1980-12-16,40,Administrative Officer,Financial Services,Mass Customer,N,Yes,16 
3,Arlin,Dearle,Male,61,1954-01-20,66,Recruiting Manager,Property,Mass Customer,N,Yes,15 
5,Sheila-kathryn,Calton,Female,56,1977-05-13,43,Senior Editor,n/a,Affluent Customer,N,Yes,8 
8,Rod,Inder,Male,31,1962-03-30,58,Media Manager I,n/a,Mass Customer,N,No,7 
9,Mala,Lind,Female,97,1973-03-10,47,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8 
10,Fiorenze,Birdall,Female,49,1988-10-11,32,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20 
12,Sawyere,Flattman,Male,58,1994-07-21,26,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8 
13,Gabriele,Norcross,Male,38,1955-02-15,65,Developer I,Financial Services,High Net Worth,N,Yes,8 
14,Rayshell,Kitteman,Female,85,1983-03-25,37,Account Executive,Financial Services,Affluent Customer,N,No,6 
15,Erroll,Radage,Male,91,2000-07-13,20,Junior Executive,Manufacturing,Mass Customer,N,No,1 
16,Harlin,Parr,Male,38,1977-02-27,43,Media Manager IV,n/a,Mass Customer,N,Yes,18 
17,Heath,Faraday,Male,57,1962-03-19,58,Sales Associate,n/a,Affluent Customer,N,Yes,15 
18,Marjie,Neasham,Female,79,1967-07-06,53,Professor,n/a,Affluent Customer,N,No,11 
19,Sorcha,Keyson,Female,76,2001-04-15,19,Geological Engineer,Manufacturing,High Net Worth,N,No,1 
20,Basile,Firth,Male,72,1980-08-13,40,Project Manager,Manufacturing,Mass Customer,N,No,11 
21,Mile,Cammocke,Male,74,1980-09-20,40,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16 
24,Kim,Skpsey,Female,55,1977-12-03,43,Research Assistant I,Argiculture,Mass Customer,N,Yes,15 
25,Geoff,Assaf,Male,72,1976-12-02,44,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21 
26,Trixi,Ginnelly,Female,12,1978-06-10,42,Editor,Financial Services,Mass Customer,N,Yes,16 
27,Garvin,Klees,Male,37,1978-09-25,42,Research Nurse,Health,Mass Customer,N,Yes,12 
28,Fee,Zellmer,Male,5,1973-09-30,47,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21 
29,Mona,Sancraft,Female,62,1968-06-22,52,Safety Technician III,Manufacturing,Mass Customer,N,No,19 
31,Star,Praton,Female,3,1962-11-24,58,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14 
32,Marion,Vanichkin,Female,17,1995-04-20,25,Legal Assistant,Manufacturing,Affluent Customer,N,No,4 
33,Ernst,Hacon,Male,44,1957-06-25,63,Product Engineer,n/a,Affluent Customer,N,Yes,11 
35,Margaretha,Strettle,Female,40,1963-09-28,57,Information Systems Manager,Health,High Net Worth,N,Yes,16 
36,Lurette,Stonnell,Female,33,1977-11-09,43,VP Quality Control,n/a,Affluent Customer,N,No,22 
37,Laurie,Dwerryhouse,Female,46,1985-12-22,35,Social Worker,Health,High Net Worth,N,No,16 
38,Cordi,Merman,Female,37,1955-10-29,65,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20 
39,Hunfredo,Smalley,Male,5,1979-04-16,41,Assistant Media Planner,Entertainment,Mass Customer,N,No,22 
40,Tomasine,Jerche,Female,91,1981-10-27,39,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14 
41,Basilius,Coupe,Male,64,1976-04-14,44,Food Chemist,Health,Mass Customer,N,No,16 
42,Chiquita,Durnall,Female,24,1977-03-28,43,Accountant III,Manufacturing,Mass Customer,N,No,18 
43,Indira,Belt,Female,38,1983-03-01,37,Director of Sales,Retail,Mass Customer,N,No,5 
44,Neron,Verick,Male,63,1981-10-18,39,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17 
45,Trace,Woodhead,Male,64,1975-09-23,45,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8 
47,Matthew,Jeaycock,Male,51,1992-10-22,28,Registered Nurse,Health,Affluent Customer,N,No,2 
48,Rebbecca,Casone,Female,46,1975-08-15,45,Biostatistician II,n/a,Mass Customer,N,Yes,8 
49,Nolly,Ownsworth,Male,63,1994-01-26,26,VP Quality Control,n/a,Affluent Customer,N,No,1 
50,Whitby,Schapero,Male,38,1980-10-01,40,Account Executive,Manufacturing,Mass Customer,N,Yes,16 
51,Fidelio,Dilke,Male,68,1959-12-05,61,Computer Systems Analyst II,Retail,Mass Customer,N,No,18 
53,Agnella,Gocke,Female,22,1954-04-18,66,Software Test Engineer II,Financial Services,Mass Customer,N,No,16 
54,Loralyn,Wonfor,Female,2,1966-07-24,54,Sales Associate,Property,Mass Customer,N,Yes,18 
55,Linc,Jillions,Male,48,1956-09-24,64,Paralegal,Financial Services,Affluent Customer,N,Yes,7 
56,Reese,Ensor,Male,44,1996-07-04,24,VP Sales,Property,Mass Customer,N,Yes,4 
57,Abba,Masedon,Male,87,1988-06-13,32,Chief Design Engineer,n/a,Mass Customer,N,Yes,13 
58,Dalenna,Pinnock,Female,26,1967-07-04,53,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17 
59,Niki,Heathcote,Male,60,2000-02-08,20,Physical Therapy Assistant,n/a,High Net Worth,N,No,3 
61,Kacey,Rowbottom,Female,47,1959-11-29,61,Help Desk Operator,Property,High Net Worth,N,No,13 
63,Ebony,Zini,Female,58,1965-07-03,55,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16 
64,Gerek,Yve,Male,73,1978-03-25,42,Legal Assistant,IT,High Net Worth,N,No,4 
65,Yale,Tanser,Male,21,1976-04-01,44,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15 
66,Anselm,Gawne,Male,46,2002-03-11,18,Account Executive,Argiculture,High Net Worth,N,No,1 
68,Dahlia,Eddoes,Female,37,1974-04-21,46,Information Systems Manager,n/a,Affluent Customer,N,No,9 
69,Heidi,Milner,Female,16,1969-06-22,51,Web Developer II,n/a,Mass Customer,N,No,6 
70,Foster,Vannoort,Male,78,1993-02-27,27,Paralegal,Financial Services,Affluent Customer,N,No,8 
71,Hoyt,Glavias,Male,30,1985-01-27,35,Research Associate,Argiculture,Affluent Customer,N,Yes,12 
72,Sammy,Cheese,Male,93,1972-02-13,48,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16 
73,Minette,Worters,Female,16,1960-05-27,60,Teacher,n/a,Affluent Customer,N,Yes,5 
75,Dollie,Sealy,Female,28,1978-07-15,42,VP Product Management,Property,Mass Customer,N,No,19 
76,Rea,Hasser,Female,20,1978-01-23,42,Statistician II,Retail,High Net Worth,N,Yes,18 
77,Shermie,Andrin,Male,79,1989-09-12,31,Automation Specialist IV,Financial Services,Mass Customer,N,No,7 
78,Arch,Van der Kruis,Male,37,1985-03-12,35,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8 
79,Tybi,Silliman,Female,76,1968-10-02,52,Account Executive,Manufacturing,Mass Customer,N,No,18 
80,Pablo,Small,Male,11,1978-04-24,42,Data Coordiator,Entertainment,Mass Customer,N,No,13 
82,Gleda,Cokely,Female,93,1965-06-28,55,Software Test Engineer III,Property,High Net Worth,N,No,19 
83,Kerr,Simmell,Male,97,1967-02-26,53,Internal Auditor,IT,Mass Customer,N,Yes,18 
84,Rich,Mathiasen,Male,78,1958-02-07,62,Accountant III,n/a,Mass Customer,N,Yes,14 
85,Kane,Tixall,Male,1,1958-05-21,62,Analyst Programmer,n/a,Mass Customer,N,No,8 
86,Job,Sleney,Male,75,1989-03-04,31,Occupational Therapist,Health,High Net Worth,N,Yes,7 
87,Fields,Langdon,Male,78,1974-04-23,46,Editor,Financial Services,Mass Customer,N,No,8 
88,Malynda,Tumber,Female,41,1966-02-03,54,Help Desk Operator,Property,High Net Worth,N,Yes,7 
89,Benedicto,Hoxey,Male,74,1967-01-22,53,Speech Pathologist,Health,Mass Customer,N,Yes,14 
90,Cary,Garron,Male,76,1984-11-12,36,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11 
91,Dylan,Meaker,Male,69,1955-02-24,65,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17 
92,Jodee,Judkins,Female,98,1980-09-11,40,Recruiting Manager,Health,Mass Customer,N,No,12 
93,Gordon,Gowar,Male,63,1976-07-16,44,Project Manager,Retail,Mass Customer,N,Yes,10 
94,Wallache,Simchenko,Male,33,1974-08-07,46,Civil Engineer,Manufacturing,Mass Customer,N,No,21 
95,Nomi,Mallinder,Female,67,1960-12-25,60,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8 
96,Heath,Olford,Male,33,1968-08-31,52,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15 
97,Arne,Corain,Male,16,1979-07-27,41,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10 
98,Allianora,Babalola,Female,19,1956-03-17,64,Safety Technician IV,Health,Mass Customer,N,No,7 
99,Reggie,Mulliner,Male,97,1998-06-13,22,VP Accounting,Financial Services,Mass Customer,N,No,3 
100,Tripp,Steed,Male,80,1968-05-11,52,General Manager,Financial Services,Mass Customer,N,Yes,4 
101,Goran,Kwietek,Male,83,1975-12-29,45,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11 
102,Langsdon,Tranfield,Male,51,1956-11-27,64,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16 
103,Ethyl,Runham,Female,49,1997-04-21,23,Product Engineer,Financial Services,Affluent Customer,N,Yes,4 
104,Odille,Panketh,Female,40,1978-06-06,42,Automation Specialist II,Health,Mass Customer,N,Yes,9 
105,Maribeth,Pristnor,Female,25,2001-09-17,19,Recruiting Manager,Manufacturing,Mass Customer,N,No,1 
107,Pris,Stallebrass,Female,97,1990-07-01,30,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9 
109,Cody,Blabey,Male,16,1978-12-11,42,Marketing Assistant,n/a,Affluent Customer,N,Yes,4 
111,Cele,Evason,Female,65,1993-08-29,27,Analyst Programmer,n/a,Mass Customer,N,No,2 
112,Shena,Parren,Female,88,1975-08-12,45,Marketing Manager,Retail,High Net Worth,N,No,12 
113,Gage,Nickless,Male,67,1956-05-06,64,Staff Scientist,n/a,Mass Customer,N,No,20 
114,Sunny,Swindells,Female,10,1985-10-23,35,Teacher,Entertainment,Affluent Customer,N,No,8 
115,Alberik,Mereweather,Male,77,1981-12-21,39,Account Executive,Health,Mass Customer,N,No,18 
116,Scottie,Swiffen,Male,49,1999-02-05,21,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2 
117,Nance,Suttling,Female,75,1982-02-23,38,Marketing Manager,Manufacturing,Mass Customer,N,No,15 
118,Prentice,Pearmain,Male,43,1959-11-12,61,Budget/Accounting Analyst IV,n/a,High Net Worth,N,No,19 
119,Willey,Chastanet,Male,9,1981-12-04,39,Associate Professor,n/a,High Net Worth,N,Yes,9 
120,Sloan,Wagg,Male,80,1978-09-02,42,Legal Assistant,Financial Services,High Net Worth,N,Yes,4 
121,Myles,Pauncefort,Male,82,1957-10-02,63,Graphic Designer,Manufacturing,Mass Customer,N,No,15 
122,Colver,Itter,Male,87,1979-04-19,41,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12 
123,Almeta,Kalinsky,Female,85,1988-12-03,32,Analyst Programmer,Financial Services,High Net Worth,N,No,15 
124,Kath,Cunney,Female,27,1995-05-03,25,Administrative Assistant II,Health,High Net Worth,N,Yes,5 
125,Darrelle,Antoniewski,Female,94,1960-03-17,60,Computer Systems Analyst II,Property,Mass Customer,N,No,16 
126,Norman,Cliff,Male,53,1992-10-15,28,Administrative Officer,Health,Mass Customer,N,Yes,3 
127,Merrili,Whitear,Female,81,1974-12-03,46,Compensation Analyst,Financial Services,Mass Customer,N,No,19 
128,Isidro,Cypler,Male,73,1977-07-17,43,Systems Administrator III,Property,Mass Customer,N,Yes,12 
129,Weidar,Silkstone,Male,64,1985-07-20,35,Financial Advisor,Financial Services,High Net Worth,N,Yes,19 
130,Raddy,Delete,Male,32,1997-07-18,23,Chemical Engineer,Manufacturing,Mass Customer,N,No,1 
131,Jana,Renyard,Female,57,1964-10-16,56,Administrative Officer,Retail,High Net Worth,N,No,8 
132,Celesta,Willavoys,Female,5,1963-07-07,57,Web Designer I,Manufacturing,Mass Customer,N,Yes,9 
133,Eldridge,Fiddeman,Male,12,1977-06-13,43,VP Accounting,Financial Services,Mass Customer,N,Yes,16 
134,Merna,McCulloch,Female,34,1997-08-01,23,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5 
135,Rosalia,Sigart,Female,18,1975-01-18,45,Internal Auditor,IT,Mass Customer,N,No,3 
136,Mel,Bennet,Male,46,1973-05-26,47,Senior Developer,Manufacturing,High Net Worth,N,Yes,7 
137,Vaughn,Artin,Male,27,1987-11-21,33,Office Assistant II,Property,High Net Worth,N,No,10 
138,Onofredo,Franc,Male,5,1985-04-28,35,Recruiter,Financial Services,Affluent Customer,N,Yes,13 
140,Morrie,Flaxon,Male,9,1994-05-20,26,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2 
141,Townsend,Trobe,Male,67,1954-06-25,66,Teacher,Financial Services,High Net Worth,N,Yes,10 
142,Bentley,Fortesquieu,Male,57,1967-08-07,53,Quality Engineer,Health,Affluent Customer,N,No,17 
143,Kendall,Figg,Male,19,1957-09-01,63,Operator,Argiculture,Mass Customer,N,Yes,11 
145,Filippo,Ferrara,Male,33,1997-07-21,23,Account Executive,Financial Services,Mass Customer,N,No,4 
146,Ricoriki,Matlock,Male,34,1985-04-08,35,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8 
147,Rea,Pattrick,Female,32,1973-12-06,47,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10 
148,Jaquith,Maffey,Female,69,1981-05-08,39,Programmer Analyst III,n/a,Mass Customer,N,Yes,5 
149,Drucy,Kausche,Female,41,1995-01-31,25,Research Nurse,Health,Mass Customer,N,Yes,1 
150,Bradly,Crosse,Male,6,1983-08-23,37,Cost Accountant,Financial Services,Affluent Customer,N,No,17 
151,Donnie,Brimson,Male,36,1965-01-31,55,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13 
152,Stephana,Cardew,Female,5,1981-03-03,39,Compensation Analyst,Financial Services,Mass Customer,N,No,16 
153,Lorilyn,Walshe,Female,73,1977-07-28,43,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12 
154,Faydra,Dulieu,Female,90,1958-02-13,62,Junior Executive,n/a,Mass Customer,N,No,11 
155,Orran,Bogges,Male,4,1985-12-28,35,Quality Engineer,Manufacturing,Mass Customer,N,No,10 
156,Shayla,Rimmington,Female,23,1979-09-09,41,Cost Accountant,Financial Services,Mass Customer,N,Yes,11 
157,Chad,Houtby,Male,97,1974-11-23,46,Financial Advisor,Financial Services,Affluent Customer,N,No,16 
158,Hamlin,Odams,Male,99,1984-09-03,36,Internal Auditor,n/a,Affluent Customer,N,No,5 
159,Arin,Matskevich,Male,90,1987-05-12,33,Research Nurse,Health,Affluent Customer,N,No,13 
160,Wake,Durning,Male,5,1964-07-15,56,Registered Nurse,Health,Mass Customer,N,No,18 
162,Port,Acuna,Male,90,1979-08-12,41,Nurse Practicioner,IT,Mass Customer,N,No,15 
163,Kessia,Helder,Female,58,1976-09-06,44,Librarian,Entertainment,High Net Worth,N,Yes,14 
164,Aarika,Van Vuuren,Female,55,1999-08-07,21,Senior Editor,Retail,Affluent Customer,N,Yes,1 
165,Aldon,Roelofs,Male,61,1984-03-25,36,Administrative Officer,Argiculture,Mass Customer,N,Yes,12 
166,Elston,Oleszczak,Male,54,1955-06-12,65,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6 
169,Alfy,Bruhnke,Male,20,1957-10-19,63,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5 
170,Jammal,Gever,Male,80,1975-06-02,45,Pharmacist,Health,High Net Worth,N,No,21 
171,Halli,Davidoff,Female,62,1970-12-04,50,Assistant Manager,Manufacturing,Mass Customer,N,No,10 
172,Hilton,Carney,Male,54,1988-09-12,32,Editor,Manufacturing,Affluent Customer,N,Yes,6 
173,Ebba,Hanselmann,Female,99,1997-01-02,23,General Manager,Health,Affluent Customer,N,No,1 
174,Catie,Tosspell,Female,93,1989-11-26,31,Food Chemist,Health,Mass Customer,N,No,12 
175,Templeton,Hambrook,Male,36,1975-11-28,45,Quality Engineer,Manufacturing,Affluent Customer,N,No,5 
176,Angelo,Clayal,Male,39,1992-04-13,28,Accountant I,Property,Mass Customer,N,No,10 
177,Ondrea,Pablos,Female,25,1989-11-09,31,Professor,Financial Services,High Net Worth,N,No,4 
179,Esteban,Sewill,Male,23,1966-05-11,54,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6 
180,Trisha,Neasham,Female,16,1971-09-17,49,Web Designer III,Argiculture,Affluent Customer,N,No,14 
181,Pavla,Braunle,Female,49,1982-11-21,38,Senior Editor,Manufacturing,Mass Customer,N,No,9 
182,Lydon,Dahlman,Male,99,1992-11-20,28,Sales Associate,Financial Services,Affluent Customer,N,Yes,7 
183,Dannie,Hissie,Female,7,1997-08-05,23,Geologist III,Retail,Affluent Customer,N,No,3 
184,Nappie,Paolo,Male,40,1971-12-13,49,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7 
186,Mireielle,Jeppe,Female,46,1974-05-06,46,Software Test Engineer I,Financial Services,Mass Customer,N,No,3 
187,Pincas,Ather,Male,97,1954-01-28,66,Structural Engineer,n/a,Mass Customer,N,No,11 
188,Audry,Seine,Female,54,1975-06-22,45,Safety Technician II,Property,High Net Worth,N,Yes,13 
189,Umberto,Torricella,Male,73,1981-07-19,39,Safety Technician I,Financial Services,Affluent Customer,N,No,10 
190,Hayley,Girardengo,Female,42,1979-02-04,41,Registered Nurse,Health,Affluent Customer,N,No,10 
191,Christopher,Heining,Male,22,1960-04-27,60,Help Desk Operator,n/a,Affluent Customer,N,Yes,6 
192,Goldi,Osler,Female,2,1978-11-19,42,Junior Executive,Health,Mass Customer,N,Yes,8 
193,Foss,Hardes,Male,13,1964-07-22,56,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12 
194,Ursala,Ferrai,Female,4,1974-11-16,46,Web Developer III,Financial Services,Affluent Customer,N,No,10 
195,Talyah,Rylatt,Female,34,1958-11-14,62,Project Manager,Manufacturing,Mass Customer,N,No,6 
196,Swen,Odhams,Male,90,1966-02-22,54,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6 
198,Vanya,Gumb,Female,82,1981-11-29,39,Assistant Media Planner,Entertainment,Mass Customer,N,No,16 
199,Verla,Alven,Female,61,1978-02-13,42,Junior Executive,Health,Mass Customer,N,Yes,21 
200,Hube,Weald,Male,7,1957-02-04,63,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19 
201,Salem,Huie,Male,45,1966-04-20,54,Design Engineer,Manufacturing,Mass Customer,N,Yes,11 
202,Audie,Pillinger,Female,38,1963-06-24,57,Librarian,Entertainment,Affluent Customer,N,Yes,16 
203,Donovan,Conry,Male,71,1964-01-13,56,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11 
204,Thorny,Hackworth,Male,56,1976-10-01,44,Editor,Financial Services,Mass Customer,N,No,5 
205,Rolfe,Kellard,Male,18,1958-12-01,62,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6 
206,Mari,Chevolleau,Female,98,1954-07-19,66,Statistician I,n/a,Mass Customer,N,Yes,14 
208,Rutter,Excell,Male,57,1994-10-31,26,Office Assistant III,Property,High Net Worth,N,No,5 
209,Udall,Bellard,Male,9,1957-08-28,63,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes,6 
210,Albrecht,Thomasson,Male,50,1963-11-18,57,Assistant Manager,Property,Mass Customer,N,No,18 
212,Nanice,Ellse,Female,21,2001-11-19,19,Desktop Support Technician,IT,Affluent Customer,N,No,1 
213,Lockwood,Exroll,Male,13,1996-05-14,24,Actuary,Financial Services,High Net Worth,N,Yes,6 
214,Jeramie,Cellier,Male,82,1957-11-29,63,Food Chemist,Health,Mass Customer,N,No,6 
215,Debera,Foxworthy,Female,37,1974-06-24,46,Assistant Professor,Retail,High Net Worth,N,Yes,18 
216,Cinderella,Parcall,Female,12,1995-01-12,25,Quality Engineer,Financial Services,High Net Worth,N,Yes,7 
218,Stefa,Dunnan,Female,37,1993-08-06,27,Administrative Officer,Property,High Net Worth,N,Yes,8 
219,Markus,Mughal,Male,9,1964-11-25,56,Database Administrator III,Health,Mass Customer,N,No,7 
220,Jeniffer,Apark,Female,79,1954-05-10,66,Electrical Engineer,Manufacturing,High Net Worth,N,No,9 
221,Mara,Bloore,Female,14,1980-03-10,40,Tax Accountant,Manufacturing,Mass Customer,N,No,14 
222,Nev,Larive,Male,89,1978-09-03,42,Clinical Specialist,Health,Mass Customer,N,No,16 
223,Ossie,Meaton,Male,13,1983-11-26,37,VP Sales,n/a,Affluent Customer,N,Yes,14 
224,Morgun,Girvan,Male,2,1967-12-03,53,Compensation Analyst,Financial Services,Affluent Customer,N,No,17 
225,Brittaney,Pring,Female,84,1977-03-11,43,Pharmacist,Health,Affluent Customer,N,No,13 
226,Bondie,Letty,Male,96,1977-11-11,43,Database Administrator IV,Manufacturing,Mass Customer,N,No,20 
227,Wendall,McKeand,Male,99,1973-08-14,47,Accountant I,Entertainment,Mass Customer,N,No,18 
228,Lucia,Pickervance,Female,59,1986-05-25,34,Systems Administrator II,Manufacturing,High Net Worth,N,No,12 
230,Maegan,Scyone,Female,74,1954-06-24,66,Internal Auditor,Property,High Net Worth,N,No,11 
231,Basile,Winsor,Male,48,1995-08-05,25,Design Engineer,Financial Services,Mass Customer,N,Yes,3 
